metric_date,open,high,low,close,volume,market_cap,mcap_weekly_growth,mcap_weekly_change,crypto,type
2024-07-07,1.723890595e-05,1.756033922e-05,1.293643541e-05,1.550354408e-05,2300904018.93,9135786706.41,-10.07635807780497,-1023706960.7999992,Shiba Inu,cryptocoins
2024-07-14,1.55051411e-05,1.772003496e-05,1.482502957e-05,1.763313302e-05,1989149730.62,10390689422.57,13.736120998528945,1254902716.1599998,Shiba Inu,cryptocoins
2024-07-21,1.763521888e-05,2.009957771e-05,1.686462737e-05,1.823584973e-05,4234811150.29,10745851374.0,3.4180787913700827,355161951.4300003,Shiba Inu,cryptocoins
2024-07-28,1.823584973e-05,1.828909927e-05,1.586604105e-05,1.679784003e-05,1794605270.24,9898461785.19,-7.8857371027882595,-847389588.8099995,Shiba Inu,cryptocoins
2024-08-04,1.679782222e-05,1.728579348e-05,1.302661354e-05,1.333040579e-05,1638976765.28,7855215132.82,-20.642062339696963,-2043246652.3700008,Shiba Inu,cryptocoins
2024-08-11,1.333040579e-05,1.464318789e-05,1.08691591e-05,1.338881445e-05,2668818177.86,7889631566.39,0.43813483129448993,34416433.57000065,Shiba Inu,cryptocoins
2024-08-18,1.338880161e-05,1.408015335e-05,1.294653068e-05,1.325881235e-05,1140797741.25,7813025016.58,-0.9709775312746638,-76606549.81000042,Shiba Inu,cryptocoins
2024-08-25,1.325881235e-05,1.610353709e-05,1.301079915e-05,1.512625307e-05,1590385414.07,8913450741.3,14.084502767939288,1100425724.7199993,Shiba Inu,cryptocoins
2024-09-01,1.512625307e-05,1.52460205e-05,1.310130778e-05,1.315781779e-05,1377042665.55,7753505293.64,-13.013427474114525,-1159945447.659999,Shiba Inu,cryptocoins
2024-09-08,1.31576565e-05,1.383673132e-05,1.23829877e-05,1.307320928e-05,1049838107.5799999,7703644500.48,-0.6430742131678158,-49860793.1600008,Shiba Inu,cryptocoins
2024-09-15,1.307320928e-05,1.409898154e-05,1.296948066e-05,1.339567075e-05,952369417.71,7893660786.94,2.466576520349051,190016286.46000004,Shiba Inu,cryptocoins
2024-01-07,14.9469281418,16.046948683,13.0575220253,13.1402970298,3391490348.77,7465002354.37,-12.082238126049905,-1025889810.3699999,Chainlink,cryptocoins
2024-01-14,13.1412148176,15.6569338345,12.6488879129,14.7970924087,3999666301.45,8406227760.16,12.608507822358671,941225405.79,Chainlink,cryptocoins
2024-01-21,14.7923516545,16.525059385,14.2490229506,15.391012075,4390192200.55,8743633505.04,4.0137592569057245,337405744.88000107,Chainlink,cryptocoins
2024-01-28,15.3916107892,15.8902388055,13.5339963368,14.5175624357,2985106566.0099998,8247426790.78,-5.675063049863405,-496206714.2600012,Chainlink,cryptocoins
2024-02-04,14.5096931704,18.8331007282,14.2997744664,18.1760604427,5900437070.55,10671164548.86,29.38780567036443,2423737758.080001,Chainlink,cryptocoins
2024-02-11,18.1757437767,20.6483085281,17.8531751065,20.1289602601,4833185341.49,11817711973.96,10.744351470266512,1146547425.0999985,Chainlink,cryptocoins
2024-02-18,20.1302960627,20.8220923447,19.2764484828,20.0965078826,3823166791.5,11798659184.07,-0.16122232401654113,-19052789.88999939,Chainlink,cryptocoins
2024-02-25,20.0985545959,20.2176043034,17.6660024382,18.7046353746,2907737317.4700003,10981490875.76,-6.9259421393687015,-817168308.3099995,Chainlink,cryptocoins
2024-03-03,18.7041087671,21.676810793,18.1741825587,20.5130176022,4985094412.6,12043192028.15,9.668096658292047,1061701152.3899994,Chainlink,cryptocoins
2024-03-10,20.5127782974,21.9432029639,17.2087169505,21.7546118939,4945967592.52,12771502038.44,6.047483163829281,728310010.2900009,Chainlink,cryptocoins
2024-03-17,21.7535388881,22.8252490875,17.4630888801,18.6744979444,6106411656.13,10963797191.39,-14.1542070902007,-1807704847.0500011,Chainlink,cryptocoins
2024-03-24,18.6744979444,19.4734783086,16.3376586871,18.5326699331,4098641548.75,10880529970.15,-0.7594742933168308,-83267221.23999977,Chainlink,cryptocoins
2024-03-31,18.5326699331,20.7088020933,18.3969102127,19.1377277724,2810899584.5299997,11235767794.09,3.2648944942440528,355237823.94000053,Chainlink,cryptocoins
2024-04-07,19.1377420534,19.2686878264,16.901479302,17.9221427207,2691240081.52,10522083648.91,-6.35189475485064,-713684145.1800003,Chainlink,cryptocoins
2024-04-14,17.9221328197,18.6513956672,11.9996711633,14.1197496162,4091074070.49,8289737717.06,-21.215816242643648,-2232345931.8499994,Chainlink,cryptocoins
2024-04-21,14.1198060539,15.0965629616,12.7874161925,15.0804119116,2759192339.34,8853689429.99,6.803010326483627,563951712.9299994,Chainlink,cryptocoins
2024-04-28,15.0803779178,16.0149227353,13.7590873587,13.8080690046,2225058250.82,8106698746.91,-8.437055410479244,-746990683.0799999,Chainlink,cryptocoins
2024-05-05,13.8080380768,14.6451017073,12.4508644798,14.3754821495,2027951381.1399999,8439845145.2,4.109519900649872,333146398.28999996,Chainlink,cryptocoins
2024-05-12,14.3754501926,15.14919079,13.2969105002,13.5469714997,1780237923.92,7953419895.61,-5.76343808709151,-486425249.59000015,Chainlink,cryptocoins
2024-05-19,13.5469601361,17.0892810167,12.852518264,16.5815589698,3815325544.55,9735032781.26,22.400588791161226,1781612885.6500006,Chainlink,cryptocoins
2024-05-26,16.5815589698,17.876766235,15.5796855002,17.0464696149,4229895735.46,10007981807.26,2.8037812725749456,272949026.0,Chainlink,cryptocoins
